"aid","c"
"793","14"
"797","12"
"850","12"
"719","11"
"798","11"
"98","10"
"185","10"
"315","10"
"366","10"
"472","10"
"667","10"
"901","10"
"65","9"
"112","9"
"128","9"
"146","9"
"154","9"
"316","9"
"350","9"
"379","9"
"477","9"
"704","9"
"726","9"
"752","9"
"758","9"
"802","9"
"810","9"
"868","9"
"902","9"
"9","8"
"29","8"
"30","8"
"38","8"
"68","8"
"90","8"
"101","8"
"139","8"
"158","8"
"159","8"
"253","8"
"320","8"
"365","8"
"373","8"
"411","8"
"412","8"
"413","8"
"494","8"
"513","8"
"549","8"
"557","8"
"584","8"
"599","8"
"624","8"
"633","8"
"692","8"
"762","8"
"779","8"
"825","8"
"859","8"
"10","7"
"18","7"
"24","7"
"32","7"
"34","7"
"45","7"
"79","7"
"102","7"
"107","7"
"120","7"
"124","7"
"153","7"
"162","7"
"163","7"
"194","7"
"196","7"
"213","7"
"257","7"
"268","7"
"313","7"
"317","7"
"322","7"
"333","7"
"344","7"
"346","7"
"349","7"
"351","7"
"359","7"
"369","7"
"403","7"
"407","7"
"416","7"
"432","7"
"448","7"
"455","7"
"465","7"
"484","7"
"523","7"
"526","7"
"534","7"
"539","7"
"565","7"
"566","7"
"580","7"
"629","7"
"640","7"
"668","7"
"683","7"
"703","7"
"706","7"
"716","7"
"725","7"
"728","7"
"770","7"
"784","7"
"796","7"
"835","7"
"856","7"
"870","7"
"884","7"
"903","7"
"934","7"
"943","7"
"955","7"
"989","7"
"990","7"
"993","7"
"7","6"
"15","6"
"19","6"
"23","6"
"47","6"
"49","6"
"52","6"
"75","6"
"86","6"
"93","6"
"109","6"
"110","6"
"119","6"
"122","6"
"157","6"
"160","6"
"161","6"
"172","6"
"177","6"
"179","6"
"187","6"
"192","6"
"197","6"
"198","6"
"211","6"
"215","6"
"222","6"
"229","6"
"230","6"
"233","6"
"247","6"
"248","6"
"249","6"
"279","6"
"284","6"
"288","6"
"298","6"
"304","6"
"307","6"
"323","6"
"324","6"
"328","6"
"330","6"
"332","6"
"334","6"
"336","6"
"362","6"
"400","6"
"420","6"
"436","6"
"438","6"
"453","6"
"464","6"
"466","6"
"479","6"
"491","6"
"499","6"
"501","6"
"506","6"
"515","6"
"524","6"
"525","6"
"536","6"
"537","6"
"560","6"
"561","6"
"571","6"
"586","6"
"589","6"
"601","6"
"616","6"
"621","6"
"625","6"
"631","6"
"641","6"
"645","6"
"650","6"
"653","6"
"662","6"
"663","6"
"664","6"
"665","6"
"676","6"
"678","6"
"680","6"
"688","6"
"699","6"
"705","6"
"707","6"
"709","6"
"715","6"
"731","6"
"746","6"
"775","6"
"785","6"
"788","6"
"789","6"
"806","6"
"812","6"
"815","6"
"845","6"
"857","6"
"864","6"
"873","6"
"885","6"
"892","6"
"897","6"
"899","6"
"908","6"
"929","6"
"942","6"
"944","6"
"948","6"
"950","6"
"952","6"
"980","6"
"985","6"
"1","5"
"4","5"
"21","5"
"25","5"
"40","5"
"48","5"
"55","5"
"58","5"
"59","5"
"60","5"
"66","5"
"70","5"
"71","5"
"72","5"
"74","5"
"85","5"
"89","5"
"94","5"
"95","5"
"99","5"
"108","5"
"113","5"
"115","5"
"123","5"
"130","5"
"133","5"
"138","5"
"156","5"
"167","5"
"186","5"
"191","5"
"195","5"
"202","5"
"205","5"
"214","5"
"217","5"
"232","5"
"239","5"
"241","5"
"245","5"
"252","5"
"255","5"
"258","5"
"260","5"
"262","5"
"280","5"
"282","5"
"291","5"
"293","5"
"295","5"
"299","5"
"318","5"
"329","5"
"337","5"
"342","5"
"343","5"
"360","5"
"370","5"
"378","5"
"390","5"
"399","5"
"401","5"
"426","5"
"437","5"
"451","5"
"461","5"
"462","5"
"463","5"
"469","5"
"470","5"
"471","5"
"482","5"
"492","5"
"493","5"
"496","5"
"498","5"
"503","5"
"507","5"
"510","5"
"519","5"
"522","5"
"532","5"
"533","5"
"535","5"
"541","5"
"546","5"
"547","5"
"562","5"
"564","5"
"572","5"
"588","5"
"600","5"
"608","5"
"611","5"
"615","5"
"619","5"
"632","5"
"658","5"
"660","5"
"661","5"
"670","5"
"674","5"
"677","5"
"700","5"
"710","5"
"712","5"
"713","5"
"720","5"
"730","5"
"736","5"
"741","5"
"743","5"
"757","5"
"769","5"
"774","5"
"781","5"
"787","5"
"791","5"
"794","5"
"803","5"
"818","5"
"821","5"
"826","5"
"830","5"
"837","5"
"839","5"
"843","5"
"849","5"
"851","5"
"865","5"
"883","5"
"890","5"
"894","5"
"895","5"
"900","5"
"905","5"
"909","5"
"915","5"
"931","5"
"932","5"
"933","5"
"935","5"
"953","5"
"975","5"
"982","5"
"983","5"
"992","5"
"6","4"
"12","4"
"13","4"
