Session Name,Session Date,Count time,Attendee Count,Notes
Who is Your Monster?,26-Apr-13,11:05 AM,0,
Who is Your Monster?,26-Apr-13,11:46 AM,0,
Acts of Shameless Self-Promoting,26-Apr-13,4:00 PM,7,
How We Built a Jukebox Island!,26-Apr-13,4:00 PM,9,
Body Language and You: How Not to be a Creeper . . . Again,26-Apr-13,4:01 PM,19,
Where do the Ideas Come From?,26-Apr-13,4:02 PM,7,
Romantic Comedies Ruined My Life,26-Apr-13,4:03 PM,11,
Where's the Science?,26-Apr-13,4:04 PM,15,
The Tao of Kitteh,26-Apr-13,4:05 PM,3,
Open Sketch and Draw,26-Apr-13,4:07 PM,0,
Paint 'N Take I,26-Apr-13,4:07 PM,0,
Open & Scheduled Gaming,26-Apr-13,4:16 PM,0,
Acts of Shameless Self-Promoting,26-Apr-13,4:23 PM,13,
How We Built a Jukebox Island!,26-Apr-13,4:23 PM,5,
Body Language and You: How Not to be a Creeper . . . Again,26-Apr-13,4:25 PM,27,
Where do the Ideas Come From?,26-Apr-13,4:25 PM,13,
Where's the Science?,26-Apr-13,4:27 PM,16,
Open & Scheduled Gaming,26-Apr-13,4:29 PM,11,
The Tao of Kitteh,26-Apr-13,4:34 PM,4,
Open Sketch and Draw,26-Apr-13,4:36 PM,5,
Paint 'N Take I,26-Apr-13,4:36 PM,5,
Romantic Comedies Ruined My Life,26-Apr-13,4:39 PM,13,
3D Modeling for 3D Printer Use,26-Apr-13,5:05 PM,5,Presenters were not yet present
Cardboard Crossbows I,26-Apr-13,5:05 PM,19,Presenters were not yet present.
Mead Making,26-Apr-13,5:08 PM,32,
Fog Imaging,26-Apr-13,5:13 PM,6,
Self-Publishing 101,26-Apr-13,5:13 PM,9,
Leveraging Digital Surveillance Equipment for Studying Wild Insect Behavior,26-Apr-13,5:14 PM,7,
Create And Edit Multimedia with OSS (GIMP),26-Apr-13,5:15 PM,14,
Paint 'N Take I,26-Apr-13,5:15 PM,13,
The Personal Replicator,26-Apr-13,5:15 PM,10,
The Demoscene: My Spinning Cube is Better Than Your Spinning Cube,26-Apr-13,5:16 PM,10,
Open Sketch and Draw,26-Apr-13,5:17 PM,0,
Fairy Wings,26-Apr-13,5:20 PM,19,
